"tid";"name";"ptid";"pname"
"1";"Видеодомофоны";"NUL";"NUL"
"13";"Готовые комплекты видеодомофонии";"NUL";"NUL"
"200";"Многоквартирные видеодомофонные системы";"NUL";"NUL"
"26";"IP видеонаблюдение";"NUL";"NUL"
"102";"HD Видеонаблюдение";"NUL";"NUL"
"3";"Видеонаблюдение аналоговое";"NUL";"NUL"
"5";"Контроль доступа";"NUL";"NUL"
"52";"Переговорные устройства";"NUL";"NUL"
"12";"Турникеты, шлагбаумы";"NUL";"NUL"
"15";"Охранная сигнализация";"NUL";"NUL"
"79";"Светодиодное освещение";"NUL";"NUL"
"18";"Расходные материалы";"NUL";"NUL"
"25";"Кабельная продукция";"NUL";"NUL"
"74";"Видеодомофоны Kocom";"1";"Видеодомофоны"
"19";"Видеодомофоны Commax с трубкой";"1";"Видеодомофоны"
"213";"Видеодомофоны RVI";"1";"Видеодомофоны"
"209";"Видеодомофоны Falcon Eye";"1";"Видеодомофоны"
"53";"Видеодомофоны для цифровых подъездных домофонов";"1";"Видеодомофоны"
"54";"Видеодомофоны для координатных подъездных домофонов";"1";"Видеодомофоны"
"55";"Блоки сопряжения с подъездными домофонами";"1";"Видеодомофоны"
"24";"Вызывные панели индивидуальные";"1";"Видеодомофоны"
"20";"Видеодомофоны Commax с громкой связью";"1";"Видеодомофоны"
"225";"Вызывные панели многоабонентские";"1";"Видеодомофоны"
"230";"HD домофоны";"1";"Видеодомофоны"
"73";"Видеодомофоны Tantos";"1";"Видеодомофоны"
"60";"Видеодомофоны Slinex";"1";"Видеодомофоны"
"2";"Видеорегистраторы";"3";"Видеонаблюдение аналоговое"
"96";"Мониторы TFT просмотровые";"3";"Видеонаблюдение аналоговое"
"62";"Видеокамеры";"3";"Видеонаблюдение аналоговое"
"80";"Микрофоны";"3";"Видеонаблюдение аналоговое"
"218";"Объективы";"4";"IP видеокамеры"
"216";"IP видеокамеры PTZ";"4";"IP видеокамеры"
"148";"IP видеокамеры купольные";"4";"IP видеокамеры"
"217";"IP видеокамеры WiFi";"4";"IP видеокамеры"
"147";"IP видеокамеры цилиндрические";"4";"IP видеокамеры"
"111";"Замки";"5";"Контроль доступа"
"123";"Блоки питания";"5";"Контроль доступа"
"224";"Сетевые контроллеры";"5";"Контроль доступа"
"110";"Считыватели карт и автономные контроллеры";"5";"Контроль доступа"
"113";"Карты и ключи доступа";"5";"Контроль доступа"
"115";"Кодонаборные панели";"5";"Контроль доступа"
"109";"Биометрия";"5";"Контроль доступа"
"122";"Аккумуляторы";"5";"Контроль доступа"
"114";"Доводчики";"5";"Контроль доступа"
"112";"Кнопки выхода";"5";"Контроль доступа"
"107";"Шлагбаумы,ворота";"12";"Турникеты, шлагбаумы"
"118";"Запчасти и комплектующие";"12";"Турникеты, шлагбаумы"
"108";"Турникеты";"12";"Турникеты, шлагбаумы"
"31";"На 2 камеры";"19";"Видеодомофоны Commax с трубкой"
"32";"На 3 камеры";"19";"Видеодомофоны Commax с трубкой"
"30";"На 1 камеру";"19";"Видеодомофоны Commax с трубкой"
"33";"На 4 камеры";"19";"Видеодомофоны Commax с трубкой"
"43";"На 2 камеры";"20";"Видеодомофоны Commax с громкой связью"
"50";"На 4 камеры";"20";"Видеодомофоны Commax с громкой связью"
"42";"На 1 камеру";"20";"Видеодомофоны Commax с громкой связью"
"57";"Разъемы";"25";"Кабельная продукция"
"56";"Кабель для видеонаблюдения";"25";"Кабельная продукция"
"51";"IP видеорегистраторы";"26";"IP видеонаблюдение"
"4";"IP видеокамеры";"26";"IP видеонаблюдение"
"155";"Сетевое оборудование";"26";"IP видеонаблюдение"
"157";"Жёсткие диски HDD";"26";"IP видеонаблюдение"
"168";"Универсальные светильники";"79";"Светодиодное освещение"
"170";"Светильники для общественных и промышленных освещений";"79";"Светодиодное освещение"
"206";"Взрывозащищенные светильники";"79";"Светодиодное освещение"
"169";"Светильники для уличного освещения";"79";"Светодиодное освещение"
"197";"Купольные видеокамеры HD";"102";"HD Видеонаблюдение"
"198";"Видеорегистраторы HD";"102";"HD Видеонаблюдение"
"196";"Цилиндрические видеокамеры HD";"102";"HD Видеонаблюдение"
"21";"Многоквартирные системы Commax Gate View";"200";"Многоквартирные видеодомофонные системы"
"223";"Многоквартирные системы Commax 481";"200";"Многоквартирные видеодомофонные системы"
"222";"Многоквартирные системы Commax Modum";"200";"Многоквартирные видеодомофонные системы"
"221";"Многоквартирные системы Tantos";"200";"Многоквартирные видеодомофонные системы"
"232";"Вызывные панели формата AHD";"230";"HD домофоны"
"231";"Мониторы формата AHD";"230";"HD домофоны"
